"agency","city","cfo_file","gazette_date","seizure_date","location","offence","police_file","seized_goods","year","version"
"RCMP CFSEU","Westbank","R-08916","March 11, 2021","2020-9-19","3384 Carrington Road, Westbank, Westbank, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10073","4000 CAD","2020",2
"RCMP CFSEU","Westbank","R-08916","March 11, 2021","2020-9-19","3384 Carrington Road, Westbank, Westbank, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10073","3000 CAD","2020",2
"Richmond RCMP","Richmond","R-08926","March 11, 2021","2020-6-29","3151 Aylmer Road, Richmond, Richmond, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09862","69900 CAD","2020",2
"Langley RCMP","Langley","R-08930","March 11, 2021","2020-8-11","6800 block of 216th Street, Langley, Langley, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09867","1752.25 CAD","2020",2
"RCMP CFSEU","Surrey","R-08937","March 11, 2021","2019-3-23","10153 King George Boulevard, Surrey, Surrey, British Columbia","322 (Theft) Criminal Code of Canada.","AC-09874","2790 CAD","2019",2
"RCMP CFSEU","Surrey","R-08937","March 11, 2021","2019-3-23","10153 King George Boulevard, Surrey, Surrey, British Columbia","322 (Theft) Criminal Code of Canada.","AC-09874","Samsung cell phone","2019",2
"RCMP CFSEU","Surrey","R-08937","March 11, 2021","2019-3-23","10153 King George Boulevard, Surrey, Surrey, British Columbia","322 (Theft) Criminal Code of Canada.","AC-09874","MI cell phone","2019",2
"RCMP CFSEU","Surrey","R-08937","March 11, 2021","2019-3-23","10153 King George Boulevard, Surrey, Surrey, British Columbia","322 (Theft) Criminal Code of Canada.","AC-09874","Motorolcell phone","2019",2
"RCMP CFSEU","Prince George","R-08956","March 11, 2021","2020-9-26","Strathcona Avenue and Spruce Street, Prince George, Prince George, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09890","1650 CAD","2020",2
"RCMP CFSEU","Prince George","R-08956","March 11, 2021","2020-9-26","Strathcona Avenue and Spruce Street, Prince George, Prince George, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09890","Cell phone","2020",2
"RCMP CFSEU","Peace Officer(s) of the RCMP CFSEU seized","R-08967","March 11, 2021","2018-3-24","B.C., Peace Officer(s) of the RCMP CFSEU seized, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09901","1440 CAD","2018",2
"RCMP CFSEU","Peace Officer(s) of the RCMP CFSEU seized","R-08967","March 11, 2021","2018-3-24","B.C., Peace Officer(s) of the RCMP CFSEU seized, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09901","Apple iPhone","2018",2
"Fort St. John RCMP","Fort St. John","R-08978","March 11, 2021","2020-9-6","7800 block of 89th Avenue, Fort St. John, Fort St. John, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09913","800 CAD","2020",2
"Fort St. John RCMP","Fort St. John","R-08978","March 11, 2021","2020-9-6","7800 block of 89th Avenue, Fort St. John, Fort St. John, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09913","260 CAD","2020",2
"Fort St. John RCMP","Fort St. John","R-08978","March 11, 2021","2020-9-6","7800 block of 89th Avenue, Fort St. John, Fort St. John, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09913","LG cell phone","2020",2
"Campbell River RCMP","Campbell River","R-08983","March 11, 2021","2020-8-29","Highway 19A and Redwood Street, Campbell River, Campbell River, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09918","1200 CAD","2020",2
"RCMP CFSEU","B.C.","R-08987","March 11, 2021","2020-5-19","Maple Ridge, B.C., British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09922","1145 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Strobe light","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","8740 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","1100 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","400 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","40 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","5 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Two speaker systems","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Headset for speaker system","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Pioneer DJ kit","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Cash register","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","POS system with tablet","2021",2
"Vancouver Police Department","Vancouver","R-09066","March 11, 2021","2021-1-31","a condo at 777 Richards Street, Vancouver, Vancouver, British Columbia","s 57 (1)(a), 8(2), 44(6), and 64 (1) of the Liquor Control Licensing Act.","AC-10066","Two stanchions","2021",2
"Surrey RCMP","Surrey","R-09127","March 11, 2021","2020-10-15","130th Street and 72nd Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10070","2009 NissMurano (BCLPLA794F)","2020",2
"Surrey RCMP","Surrey","R-09127","March 11, 2021","2020-10-15","130th Street and 72nd Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10070","Apple iPhone","2020",2
"Surrey RCMP","Surrey","R-09130","March 11, 2021","2021-1-25","72nd Avenue near 148th Street, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada. [mh11]","AC-10074","2014 Dodge Durango (BCLPCH663M)","2021",2
"Surrey RCMP","Surrey","R-09130","March 11, 2021","2021-1-25","72nd Avenue near 148th Street, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada. [mh11]","AC-10074","695 CAD","2021",2
"Surrey RCMP","Surrey","R-09130","March 11, 2021","2021-1-25","72nd Avenue near 148th Street, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada. [mh11]","AC-10074","Apple iPhone","2021",2
"Campbell River RCMP","Campbell River","R-04324","March 4, 2021","2016-12-2","200 block of Island Highway, Campbell River, Campbell River, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09695","760 CAD","2016",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","1179.40 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","1233.40 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","5 USD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","1646.10 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","52 USD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","843.16 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","28.50 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","50 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08152","March 4, 2021","2020-4-26","100 block of East Hastings Street, Vancouver, the 00 block of West Hastings Street, Vancouver, B.C., the 800 block of Terminal Street, Vancouver, B.C., 1205 Burrard Street, Vancouver, B.C. and the 700 block of Pacific Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09058","2685 CAD","2020",2
"Duncan RCMP","Duncan","R-08232","March 4, 2021","2019-9-11","2552 Alexander Street, Duncan, Duncan, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09158","2525 CAD","2019",2
"Duncan RCMP","Duncan","R-08232","March 4, 2021","2019-9-11","2552 Alexander Street, Duncan, Duncan, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09158","36.75 CAD","2019",2
"Duncan RCMP","Duncan","R-08232","March 4, 2021","2019-9-11","2552 Alexander Street, Duncan, Duncan, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09158","40 CAD","2019",2
"Duncan RCMP","Duncan","R-08232","March 4, 2021","2019-9-11","2552 Alexander Street, Duncan, Duncan, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09158","205.26 CAD","2019",2
"Duncan RCMP","Duncan","R-08232","March 4, 2021","2019-9-11","2552 Alexander Street, Duncan, Duncan, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09158","Samsung cell phone","2019",2
"Nanaimo RCMP","Nanaimo","R-08338","March 4, 2021","2020-5-7","South Fork Road and Nanaimo Lakes Road, Nanaimo, Nanaimo, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09267","40 CAD","2020",2
"Nanaimo RCMP","Nanaimo","R-08338","March 4, 2021","2020-5-7","South Fork Road and Nanaimo Lakes Road, Nanaimo, Nanaimo, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09267","2500 CAD","2020",2
"Dawson Creek RCMP","Dawson Creek","R-08388","March 4, 2021","2020-1-8","8th Street near 112 Avenue, Dawson Creek, Dawson Creek, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09318","3350 CAD","2020",2
"Surrey RCMP","Surrey","R-08391","March 4, 2021","2020-7-3","124th Street near 114th Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09322","2665 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08398","March 4, 2021","2020-6-22","100 block of East Pender Street, Vancouver and the 200 Block of Carrall Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09330","1258.55 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08398","March 4, 2021","2020-6-22","100 block of East Pender Street, Vancouver and the 200 Block of Carrall Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09330","1 USD","2020",2
"Vancouver Police Department","Vancouver","R-08398","March 4, 2021","2020-6-22","100 block of East Pender Street, Vancouver and the 200 Block of Carrall Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09330","3220 CAD","2020",2
"Victoria Police Department","Victoria","R-08400","March 4, 2021","2020-5-30","600 block of Speed Avenue, Victoria, Victoria, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09331","3150 CAD","2020",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","1006 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","390 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","189 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","21.60 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","647 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08416","March 4, 2021","2019-9-28","400 block of Carrall Street, Vancouver and the 00 Block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09347","340 CAD","2019",2
"Vancouver Police Department","Vancouver","R-08427","March 4, 2021","2020-5-19","Commercial Drive and East Hastings Street, Vancouver, Vancouver, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09359","2430.50 CAD","2020",2
"Prince George RCMP","Prince George","R-08610","March 4, 2021","2018-11-28","455 Victoria Street, Prince George, Prince George, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09542","420 CAD","2018",2
"RCMP CFSEU","Surrey","R-08615","March 4, 2021","2018-3-10","9300 block of Kenmore Drive, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09547","670 CAD","2018",2
"RCMP CFSEU","Richmond","R-08617","March 4, 2021","2019-12-12","Elmbridge Way and Alderbridge Way, Richmond, Richmond, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09549","235 CAD","2019",2
"RCMP CFSEU","Richmond","R-08617","March 4, 2021","2019-12-12","Elmbridge Way and Alderbridge Way, Richmond, Richmond, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09549","BlackBerry cell phone","2019",2
"Coquitlam RCMP","Coquitlam","R-08629","March 4, 2021","2020-4-28","Barnet Highway and Bond Street, Coquitlam, Coquitlam, British Columbia","15 (Sale of cannabis) Cannabis Control and Licensing Act (B.C.).","AC-09561","990 CAD","2020",2
"Prince George RCMP","Prince George","R-08630","March 4, 2021","2020-10-4","15th Avenue and Tabor Boulevard, Prince George, Prince George, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09562","825 CAD","2020",2
"Surrey RCMP","Surrey","R-08631","March 4, 2021","2020-7-15","138th Street at 100th Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09563","600 CAD","2020",2
"Surrey RCMP","Surrey","R-08631","March 4, 2021","2020-7-15","138th Street at 100th Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09563","365 CAD","2020",2
"Prince George RCMP","Prince George","R-08632","March 4, 2021","2020-5-1","900 block of Victoria Street, Prince George, Prince George, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09564","560 CAD","2020",2
"Delta Police Department","Delta","R-08637","March 4, 2021","2020-8-5","8800 block of 120th Street, Delta, Delta, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09997","785.55 CAD","2020",2
"West Vancouver Police Department (WVPD)","West Vancouver","R-08670","March 4, 2021","2020-2-9","4300 block of Erwin Drive, West Vancouver, West Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09600","5430 CAD","2020",2
"Delta Police Department","Delta","R-08685","March 4, 2021","2020-10-3","11700 block of 87A Street, Delta, Delta, British Columbia","15 (Sale of cannabis) Cannabis Control and Licensing Act (B.C.).","AC-09620","770 CAD","2020",2
"Abbotsford Police Department","Abbotsford","R-08749","March 4, 2021","2020-11-3","32600 block of Marshall Road, Abbotsford and 2500 block of Magnolia Crescent, Abbotsford, B.C., Abbotsford, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and because there was a warrant authorized by the court to search for evidence of an offence (or offences)","AC-09680","375 CAD","2020",2
"Abbotsford Police Department","Abbotsford","R-08749","March 4, 2021","2020-11-3","32600 block of Marshall Road, Abbotsford and 2500 block of Magnolia Crescent, Abbotsford, B.C., Abbotsford, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and because there was a warrant authorized by the court to search for evidence of an offence (or offences)","AC-09680","2012 Volkswagen Jett(BCLPLD802N)","2020",2
"Abbotsford Police Department","Abbotsford","R-08749","March 4, 2021","2020-11-3","32600 block of Marshall Road, Abbotsford and 2500 block of Magnolia Crescent, Abbotsford, B.C., Abbotsford, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada and because there was a warrant authorized by the court to search for evidence of an offence (or offences)","AC-09680","675 CAD","2020",2
"Chilliwack RCMP","Chilliwack","R-08790","March 4, 2021","2020-3-11","8900 block of Young Road, Chilliwack, Chilliwack, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09719","281.25 CAD","2020",2
"Chilliwack RCMP","Chilliwack","R-08790","March 4, 2021","2020-3-11","8900 block of Young Road, Chilliwack, Chilliwack, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09719","Alcatel cell phone","2020",2
"Chilliwack RCMP","Chilliwack","R-08790","March 4, 2021","2020-3-11","8900 block of Young Road, Chilliwack, Chilliwack, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09719","LG cell phone","2020",2
"Coquitlam RCMP","Coquitlam","R-08791","March 4, 2021","2020-7-23","North Road and Austin Avenue, Coquitlam, Coquitlam, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09720","Motorolcell phone","2020",2
"Coquitlam RCMP","Coquitlam","R-08791","March 4, 2021","2020-7-23","North Road and Austin Avenue, Coquitlam, Coquitlam, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09720","170 CAD","2020",2
"Surrey RCMP","Surrey","R-08847","March 4, 2021","2016-2-25","10100 block of Park Drive, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09783","700 CAD","2016",2
"Surrey RCMP","Surrey","R-08847","March 4, 2021","2016-2-25","10100 block of Park Drive, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09783","570 CAD","2016",2
"Surrey RCMP","Surrey","R-08847","March 4, 2021","2016-2-25","10100 block of Park Drive, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09783","300 CAD","2016",2
"Surrey RCMP","Surrey","R-08847","March 4, 2021","2016-2-25","10100 block of Park Drive, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09783","14.70 CAD","2016",2
"Vernon North Okanagan RCMP","Vernon","R-08881","March 4, 2021","2019-4-29","2900 block of Lardeau Way, Vernon, Vernon, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09817","710 CAD","2019",2
"Vernon North Okanagan RCMP","Vernon","R-08881","March 4, 2021","2019-4-29","2900 block of Lardeau Way, Vernon, Vernon, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09817","25.10 CAD","2019",2
"Vernon North Okanagan RCMP","Vernon","R-08881","March 4, 2021","2019-4-29","2900 block of Lardeau Way, Vernon, Vernon, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09817","Samsung cell phone","2019",2
"Kamloops RCMP","Kamloops","R-09036","March 4, 2021","2021-2-19.","Trans Canada Hwy and Copperhead Drive, Kamloops, Kamloops, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09973","9335 CAD","2021",2
"Saanich Police Department","Victoria","R-09061","March 4, 2021","2021-2-7","00 block of Gorge Road East, Victoria, Victoria, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-09996","2000 Jaguar S-Type (BCLPKT595F)","2021",2
"Vanderhoof RCMP","Vanderhoof","R-09087","March 4, 2021","2020-12-18","300 block of Kenney Dam Road, Vanderhoof, Vanderhoof, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10023","330 CAD","2020",2
"Surrey RCMP","Surrey","R-09095","March 4, 2021","2020-12-20","125th Street and 77A Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10035","2007 AcurCSX (BCLPKW986M)","2020",2
"Surrey RCMP","Surrey","R-09095","March 4, 2021","2020-12-20","125th Street and 77A Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10035","265 CAD","2020",2
"Surrey RCMP","Surrey","R-09095","March 4, 2021","2020-12-20","125th Street and 77A Avenue, Surrey, Surrey, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10035","Apple iPhone","2020",2
"Ridge Meadows RCMP","Maple Ridge","R-09098","March 4, 2021","2021-2-5","Laity Street and 128th Avenue, Maple Ridge, Maple Ridge, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10039","2013 Ford Fiest(BCLPKP747E)","2021",2
"Surrey RCMP","Peace Officer(s) of the Surrey RCMP seized","R-09099","March 4, 2021","2021-1-9","B.C., Peace Officer(s) of the Surrey RCMP seized, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10040","2005 Chrysler Sebring (BCLPLH708X)","2021",2
"Surrey RCMP","Peace Officer(s) of the Surrey RCMP seized","R-09099","March 4, 2021","2021-1-9","B.C., Peace Officer(s) of the Surrey RCMP seized, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10040","575 CAD","2021",2
"Surrey RCMP","Peace Officer(s) of the Surrey RCMP seized","R-09099","March 4, 2021","2021-1-9","B.C., Peace Officer(s) of the Surrey RCMP seized, British Columbia","5(2) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10040","Cell phone","2021",2
"Whistler RCMP","Whistler","R-09100","March 4, 2021","2019-4-20","2400 block of Dave Murray Place, Whistler, Whistler, British Columbia","286.2(2) (Material benefit from sexual services) Criminal Code of Canada. [mh4]","AC-10041","7000 CAD","2019",2
"Whistler RCMP","Whistler","R-09100","March 4, 2021","2019-4-20","2400 block of Dave Murray Place, Whistler, Whistler, British Columbia","286.2(2) (Material benefit from sexual services) Criminal Code of Canada. [mh4]","AC-10041","4415 CAD","2019",2
"Vancouver Police Department","Vancouver","R-07911","February 25, 2021","2020-4-12","1000 block Raymur Avenue, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09426","450 CAD","2020",2
"Vancouver Police Department","Vancouver","R-07911","February 25, 2021","2020-4-12","1000 block Raymur Avenue, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-09426","2 USD","2020",2
